
2022-11-13 06:32:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=99, nmi=0.7355, ari=0.6064, ami=0.7344, time_cost=116.0376s

2022-11-13 06:34:56: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=102, nmi=0.6920, ari=0.5256, ami=0.6906, time_cost=125.5303s

2022-11-13 06:36:53: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=105, nmi=0.6920, ari=0.5256, ami=0.6906, time_cost=116.7421s

2022-11-13 06:39:01: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=108, nmi=0.6940, ari=0.5276, ami=0.6927, time_cost=127.6553s

2022-11-13 06:41:18: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=112, nmi=0.6940, ari=0.5276, ami=0.6927, time_cost=137.1426s

2022-11-13 06:43:27: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=115, nmi=0.6940, ari=0.5276, ami=0.6927, time_cost=129.1671s

2022-11-13 06:45:50: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=118, nmi=0.6940, ari=0.5276, ami=0.6927, time_cost=143.5287s

2022-11-13 06:45:50: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=122, nmi=0.7138, ari=0.5687, ami=0.7126, time_cost=0.0666s

2022-11-13 06:45:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=125, nmi=0.7139, ari=0.5689, ami=0.7127, time_cost=0.0677s

2022-11-13 06:45:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=128, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0682s

2022-11-13 06:45:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=132, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0674s

2022-11-13 06:45:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=135, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0677s

2022-11-13 06:45:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=138, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0676s

2022-11-13 06:45:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=141, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0686s

2022-11-13 06:45:51: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=145, nmi=0.7126, ari=0.5668, ami=0.7114, time_cost=0.0689s

2022-11-13 06:48:54: segmentation datasets process:  alg_name=WassDPC(out_out), shape=(2310, 19), n_clusters=7, k_neighbors=148, nmi=0.6920, ari=0.5256, ami=0.6906, time_cost=182.5313s

