
2022-12-06 22:56:12: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=85, n_clusters=10, nmi=0.4781, ari=0.1384, ami=0.4779, time_cost=5.3404s

2022-12-06 22:56:18: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=86, n_clusters=10, nmi=0.4779, ari=0.1383, ami=0.4777, time_cost=5.2518s

2022-12-06 22:56:23: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=87, n_clusters=10, nmi=0.4885, ari=0.1507, ami=0.4884, time_cost=5.2732s

2022-12-06 22:56:28: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=88, n_clusters=10, nmi=0.4886, ari=0.1507, ami=0.4885, time_cost=5.3315s

2022-12-06 22:56:34: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=89, n_clusters=10, nmi=0.4611, ari=0.1252, ami=0.4610, time_cost=5.2396s

2022-12-06 22:56:39: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=90, n_clusters=10, nmi=0.4078, ari=0.0903, ami=0.4076, time_cost=5.5920s

2022-12-06 22:56:45: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=91, n_clusters=10, nmi=0.4198, ari=0.1010, ami=0.4196, time_cost=5.2213s

2022-12-06 22:56:50: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=92, n_clusters=10, nmi=0.4198, ari=0.1011, ami=0.4196, time_cost=5.2282s

2022-12-06 22:56:55: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=93, n_clusters=10, nmi=0.4191, ari=0.1008, ami=0.4189, time_cost=5.1932s

2022-12-06 22:57:01: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=94, n_clusters=10, nmi=0.4485, ari=0.1184, ami=0.4483, time_cost=5.3778s

2022-12-06 22:57:06: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=95, n_clusters=10, nmi=0.4487, ari=0.1185, ami=0.4485, time_cost=5.1699s

2022-12-06 22:57:11: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=96, n_clusters=10, nmi=0.4795, ari=0.1457, ami=0.4793, time_cost=5.1983s

2022-12-06 22:57:17: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=97, n_clusters=10, nmi=0.4783, ari=0.1445, ami=0.4781, time_cost=5.1544s

2022-12-06 22:57:22: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=98, n_clusters=10, nmi=0.4687, ari=0.1454, ami=0.4685, time_cost=5.1569s

2022-12-06 22:57:27: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=99, n_clusters=10, nmi=0.4255, ari=0.1152, ami=0.4253, time_cost=5.1792s

2022-12-06 22:57:32: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=100, n_clusters=10, nmi=0.4254, ari=0.1151, ami=0.4253, time_cost=5.1557s

2022-12-06 22:57:38: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=101, n_clusters=10, nmi=0.4276, ari=0.1105, ami=0.4275, time_cost=5.1851s

2022-12-06 22:57:43: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=102, n_clusters=10, nmi=0.4195, ari=0.1135, ami=0.4193, time_cost=5.2191s

2022-12-06 22:57:48: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=103, n_clusters=10, nmi=0.4610, ari=0.1361, ami=0.4609, time_cost=5.1077s

