
2022-12-09 03:29:22: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=129, n_clusters=15, nmi=0.9442, ari=0.9332, ami=0.9437, time_cost=0.8969s

2022-12-09 03:29:23: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=130, n_clusters=15, nmi=0.9232, ari=0.8725, ami=0.9226, time_cost=0.9079s

2022-12-09 03:29:24: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=131, n_clusters=15, nmi=0.9138, ari=0.8472, ami=0.9132, time_cost=0.8957s

2022-12-09 03:29:25: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=132, n_clusters=15, nmi=0.9428, ari=0.9299, ami=0.9424, time_cost=1.0598s

2022-12-09 03:29:26: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=133, n_clusters=15, nmi=0.9371, ari=0.9187, ami=0.9367, time_cost=0.8871s

2022-12-09 03:29:26: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=134, n_clusters=15, nmi=0.9414, ari=0.9294, ami=0.9410, time_cost=0.9140s

2022-12-09 03:29:27: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=135, n_clusters=15, nmi=0.9372, ari=0.9208, ami=0.9367, time_cost=0.8902s

2022-12-09 03:29:28: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=136, n_clusters=15, nmi=0.9379, ari=0.9232, ami=0.9374, time_cost=0.9140s

2022-12-09 03:29:29: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=137, n_clusters=15, nmi=0.9371, ari=0.9189, ami=0.9366, time_cost=0.9124s

