
2022-12-13 23:29:50: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8205, ari=0.4729, ami=0.8122, time_cost=20.3421s

2022-12-13 23:29:50: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8135, ari=0.4649, ami=0.8048, time_cost=20.4278s

2022-12-13 23:29:50: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.2253, ari=0.0214, ami=0.2049, time_cost=20.5157s

2022-12-13 23:29:52: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8800, ari=0.7506, ami=0.8701, time_cost=22.7647s

2022-12-13 23:29:52: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8566, ari=0.6325, ami=0.8489, time_cost=22.8336s

2022-12-13 23:29:52: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8016, ari=0.4276, ami=0.7923, time_cost=22.8804s

2022-12-13 23:29:52: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=22.9627s

2022-12-13 23:29:52: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7236, ari=0.2495, ami=0.7113, time_cost=23.0672s

2022-12-13 23:29:52: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0974, ari=0.0043, ami=0.0752, time_cost=23.1705s

2022-12-13 23:29:56: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8795, ari=0.7474, ami=0.8680, time_cost=26.6862s

2022-12-13 23:29:56: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8058, ari=0.4504, ami=0.7958, time_cost=26.7855s

2022-12-13 23:29:56: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7941, ari=0.4388, ami=0.7846, time_cost=26.8596s

2022-12-13 23:29:56: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=26.9389s

2022-12-13 23:29:56: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.6751, ari=0.2149, ami=0.6605, time_cost=27.0277s

2022-12-13 23:29:56: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0134, ari=0.0001, ami=0.0063, time_cost=27.1293s

2022-12-13 23:30:00: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9031, ari=0.8027, ami=0.8941, time_cost=30.4461s

2022-12-13 23:30:00: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8371, ari=0.5849, ami=0.8291, time_cost=30.5282s

2022-12-13 23:30:00: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7863, ari=0.4135, ami=0.7764, time_cost=30.6151s

