
2022-12-08 17:26:50: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=98, n_clusters=10, nmi=0.6079, ari=0.3741, ami=0.6078, time_cost=7.0381s

2022-12-08 17:26:57: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=99, n_clusters=10, nmi=0.6079, ari=0.3743, ami=0.6078, time_cost=7.0851s

2022-12-08 17:27:04: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=100, n_clusters=10, nmi=0.6080, ari=0.3743, ami=0.6079, time_cost=7.0365s

2022-12-08 17:27:11: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=101, n_clusters=10, nmi=0.5762, ari=0.3651, ami=0.5761, time_cost=6.9134s

2022-12-08 17:27:18: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=102, n_clusters=10, nmi=0.5761, ari=0.3650, ami=0.5760, time_cost=6.8991s

2022-12-08 17:27:25: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=103, n_clusters=10, nmi=0.5685, ari=0.3510, ami=0.5683, time_cost=6.7958s

2022-12-08 17:27:32: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=104, n_clusters=10, nmi=0.5365, ari=0.2542, ami=0.5363, time_cost=6.6432s

2022-12-08 17:27:39: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=105, n_clusters=10, nmi=0.5362, ari=0.2541, ami=0.5361, time_cost=6.6701s

2022-12-08 17:27:46: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=106, n_clusters=10, nmi=0.5363, ari=0.2541, ami=0.5361, time_cost=6.7016s

2022-12-08 17:27:52: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=107, n_clusters=10, nmi=0.5737, ari=0.3574, ami=0.5736, time_cost=6.6693s

2022-12-08 17:27:59: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=108, n_clusters=10, nmi=0.5719, ari=0.3584, ami=0.5718, time_cost=6.6397s

