
2022-11-13 20:37:15: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=225, nmi=0.6422, ari=0.4803, ami=0.6418, time_cost=0.4774s

2022-11-13 20:37:15: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=234, nmi=0.6443, ari=0.4665, ami=0.6438, time_cost=0.4480s

2022-11-13 20:37:15: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=243, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3784s

2022-11-13 20:37:16: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=252, nmi=0.8127, ari=0.6856, ami=0.8125, time_cost=0.3518s

2022-11-13 20:37:16: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=261, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3778s

2022-11-13 20:59:21: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=270, nmi=0.5419, ari=0.3263, ami=0.5413, time_cost=1324.4415s

2022-11-13 21:21:01: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=279, nmi=0.5439, ari=0.3276, ami=0.5433, time_cost=1300.1108s

2022-11-13 21:44:08: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=288, nmi=0.5439, ari=0.3276, ami=0.5433, time_cost=1386.8030s

2022-11-13 22:07:14: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=297, nmi=0.5431, ari=0.3270, ami=0.5425, time_cost=1386.3363s

2022-11-13 22:31:59: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=306, nmi=0.5431, ari=0.3270, ami=0.5425, time_cost=1485.5042s

2022-11-13 22:32:00: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=315, nmi=0.6422, ari=0.4803, ami=0.6418, time_cost=0.5146s

2022-11-13 22:32:01: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=324, nmi=0.6438, ari=0.4651, ami=0.6434, time_cost=0.5293s

2022-11-13 22:32:01: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=333, nmi=0.6443, ari=0.4665, ami=0.6438, time_cost=0.4762s

2022-11-13 22:32:01: phoneme datasets process:  alg_name=WassDPC(out_out), shape=(4509, 256), n_clusters=5, k_neighbors=342, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4387s

