
2022-11-13 03:58:37: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=130, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0483s

2022-11-13 03:58:37: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=137, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0427s

2022-11-13 03:58:37: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=144, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0431s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=150, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0427s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=157, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0429s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=164, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0427s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=171, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0429s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=178, nmi=0.3417, ari=0.2237, ami=0.3413, time_cost=0.0494s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=185, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0435s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=192, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0434s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=198, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0437s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=205, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0436s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=212, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0435s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=219, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0439s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=226, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0442s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=233, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0446s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=240, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0439s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=246, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0451s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=253, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0448s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=260, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0452s

2022-11-13 03:58:38: banknote datasets process:  alg_name=WassDPC(out_out), shape=(1372, 4), n_clusters=2, k_neighbors=267, nmi=0.8593, ari=0.9060, ami=0.8592, time_cost=0.0453s

