
2022-10-08 23:44:10: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=170, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3003s

2022-10-08 23:44:10: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=173, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3035s

2022-10-08 23:44:11: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=176, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3082s

2022-10-08 23:45:39: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=3, n_clusters=15 nmi=0.9041, ari=0.8324, ami=0.9034, time_cost=87.8800s

2022-10-08 23:47:31: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=6, n_clusters=15 nmi=0.8900, ari=0.8074, ami=0.8892, time_cost=112.7561s

2022-10-08 23:50:10: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=9, n_clusters=15 nmi=0.9117, ari=0.8461, ami=0.9111, time_cost=158.2301s

2022-10-08 23:53:19: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=13, n_clusters=15 nmi=0.8648, ari=0.7499, ami=0.8638, time_cost=189.4932s

2022-10-08 23:56:32: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=16, n_clusters=15 nmi=0.8752, ari=0.7716, ami=0.8743, time_cost=193.2913s

2022-10-09 00:00:14: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=19, n_clusters=15 nmi=0.8994, ari=0.8283, ami=0.8986, time_cost=221.5048s

2022-10-09 00:02:13: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=23, n_clusters=15 nmi=0.8837, ari=0.7512, ami=0.8828, time_cost=119.1925s

2022-10-09 00:03:54: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=26, n_clusters=15 nmi=0.9114, ari=0.8390, ami=0.9107, time_cost=101.0288s

2022-10-09 00:05:48: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=29, n_clusters=15 nmi=0.9195, ari=0.8553, ami=0.9189, time_cost=113.6437s

2022-10-09 00:07:58: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=33, n_clusters=15 nmi=0.9217, ari=0.8614, ami=0.9211, time_cost=130.4269s

2022-10-09 00:07:58: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=36, n_clusters=15 nmi=0.9452, ari=0.9367, ami=0.9448, time_cost=0.1648s

2022-10-09 00:07:59: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=39, n_clusters=15 nmi=0.9452, ari=0.9367, ami=0.9448, time_cost=0.1674s

2022-10-09 00:07:59: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=43, n_clusters=15 nmi=0.9445, ari=0.9355, ami=0.9441, time_cost=0.1719s

2022-10-09 00:07:59: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=46, n_clusters=15 nmi=0.9445, ari=0.9355, ami=0.9441, time_cost=0.1759s

2022-10-09 00:07:59: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=49, n_clusters=15 nmi=0.9449, ari=0.9359, ami=0.9445, time_cost=0.1776s

2022-10-09 00:07:59: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=53, n_clusters=15 nmi=0.9447, ari=0.9355, ami=0.9443, time_cost=0.1820s

2022-10-09 00:08:00: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=56, n_clusters=15 nmi=0.9447, ari=0.9355, ami=0.9443, time_cost=0.1885s

2022-10-09 00:08:00: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=59, n_clusters=15 nmi=0.9423, ari=0.9313, ami=0.9419, time_cost=0.1885s

2022-10-09 00:08:00: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=63, n_clusters=15 nmi=0.9411, ari=0.9296, ami=0.9406, time_cost=0.1943s

2022-10-09 00:08:00: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=66, n_clusters=15 nmi=0.9405, ari=0.9285, ami=0.9400, time_cost=0.1957s

2022-10-09 00:08:00: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=70, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2021s

2022-10-09 00:08:01: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=73, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2044s

2022-10-09 00:08:01: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=76, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2076s

2022-10-09 00:08:01: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=79, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2096s

2022-10-09 00:08:01: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=83, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2128s

2022-10-09 00:08:02: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=86, n_clusters=15 nmi=0.9400, ari=0.9274, ami=0.9395, time_cost=0.2170s

2022-10-09 00:08:02: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=90, n_clusters=15 nmi=0.9381, ari=0.9248, ami=0.9377, time_cost=0.2228s

2022-10-09 00:08:02: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=93, n_clusters=15 nmi=0.9384, ari=0.9252, ami=0.9380, time_cost=0.2226s

2022-10-09 00:08:02: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=96, n_clusters=15 nmi=0.9384, ari=0.9252, ami=0.9380, time_cost=0.2258s

2022-10-09 00:08:03: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=99, n_clusters=15 nmi=0.9384, ari=0.9252, ami=0.9380, time_cost=0.2288s

2022-10-09 00:08:03: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=103, n_clusters=15 nmi=0.9387, ari=0.9226, ami=0.9382, time_cost=0.2336s

2022-10-09 00:08:03: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=106, n_clusters=15 nmi=0.9387, ari=0.9226, ami=0.9382, time_cost=0.2368s

2022-10-09 00:08:03: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=110, n_clusters=15 nmi=0.9387, ari=0.9226, ami=0.9382, time_cost=0.2401s

2022-10-09 00:08:04: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=113, n_clusters=15 nmi=0.9391, ari=0.9260, ami=0.9386, time_cost=0.2429s

2022-10-09 00:08:04: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=116, n_clusters=15 nmi=0.9393, ari=0.9264, ami=0.9389, time_cost=0.2475s

2022-10-09 00:08:04: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=119, n_clusters=15 nmi=0.9393, ari=0.9264, ami=0.9389, time_cost=0.2503s

