
2022-12-09 03:20:34: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=76, n_clusters=15, nmi=0.9438, ari=0.9300, ami=0.9434, time_cost=0.3457s

2022-12-09 03:20:35: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=77, n_clusters=15, nmi=0.9440, ari=0.9324, ami=0.9436, time_cost=0.3508s

2022-12-09 03:20:35: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=78, n_clusters=15, nmi=0.9427, ari=0.9303, ami=0.9422, time_cost=0.4331s

2022-12-09 03:20:36: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=79, n_clusters=15, nmi=0.9421, ari=0.9299, ami=0.9416, time_cost=0.3619s

2022-12-09 03:20:36: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=80, n_clusters=15, nmi=0.9434, ari=0.9320, ami=0.9430, time_cost=0.3634s

2022-12-09 03:20:36: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=81, n_clusters=15, nmi=0.9445, ari=0.9323, ami=0.9441, time_cost=0.3938s

2022-12-09 03:20:37: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=82, n_clusters=15, nmi=0.9445, ari=0.9337, ami=0.9441, time_cost=0.3854s

2022-12-09 03:20:37: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=83, n_clusters=15, nmi=0.9438, ari=0.9313, ami=0.9434, time_cost=0.3863s

2022-12-09 03:20:38: S2 datasets process: alg_name=QuickshiftPP, shape=(5000, 2), k_neighbors=84, n_clusters=15, nmi=0.9431, ari=0.9306, ami=0.9427, time_cost=0.3946s

